REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
SA1,Alinta Energy,Northern,NPS1,Brown Coal,0.9638,280,1998-10-25T00:00:00,2016-07-01T00:00:00
SA1,Alinta Energy,Northern,NPS2,Brown Coal,0.9638,280,1998-10-25T00:00:00,2016-07-01T00:00:00
SA1,Alinta Energy,Playford,PLAYB-AG,Brown Coal,0.9573,252,1999-05-26T00:00:00,2016-07-01T00:00:00
SA1,ElectraNet,Dalrymple North BESS,DALNTH01,Battery,0.9092,30,2018-06-05T00:00:00,2024-07-31T00:00:00
SA1,ElectraNet,Dalrymple North BESS,DALNTH1,Battery,0.929,30,2024-07-12T00:00:00,2999-12-31T00:00:00
SA1,Enel Green Power,Bungala One Solar Farm,BNGSF1,Solar,0.9725,110,2018-05-01T00:00:00,2999-12-31T00:00:00
SA1,Enel Green Power,Bungala Two Solar Farm,BNGSF2,Solar,0.9725,110,2018-07-31T00:00:00,2999-12-31T00:00:00
SA1,Energy Australia,Cathedral Rocks,CATHROCK,Wind,0.9467,66,2005-04-29T00:00:00,2999-12-31T00:00:00
SA1,Energy Australia,Hallett,AGLHAL,Gas,0.9663,255,2001-12-18T00:00:00,2999-12-31T00:00:00
SA1,Energy Australia,Waterloo Wind Farm,WATERLWF,Wind,0.9624,130,2010-08-20T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Canunda Wind Farm,CNUNDAWF,Wind,0.9333,46,2006-02-07T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Dry Creek Gas Turbine,DRYCGT1,Gas,0.9988,57,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Dry Creek Gas Turbine,DRYCGT2,Gas,0.9988,57,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Dry Creek Gas Turbine,DRYCGT3,Gas,0.9988,57,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Mintaro Gas Turbine,MINTARO,Gas,0.9651,105,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Pelican Point,PPCCGT,Gas,0.9983,522,2000-09-07T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Port Lincoln,POR01,Diesel,0.9895,55,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Port Lincoln,POR03,Diesel,0.9916,23,2011-08-07T00:00:00,2999-12-31T00:00:00
SA1,ENGIE,Snuggery,SNUG1,Diesel,0.9723,69,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,Epic Energy,Mannum 2 Solar Farm,MANNSF2,Solar,0.9932,29,2023-12-12T00:00:00,2999-12-31T00:00:00
SA1,Epic Energy,Mannum Battery Energy Storage System,MANNUMB1,Battery,0.9731,100,2025-05-13T00:00:00,2999-12-31T00:00:00
SA1,Goyder Wind Farm 1,Goyder South Wind Farm 1A,GSWF1A,Wind,0.9697,201,2023-07-11T00:00:00,2999-12-31T00:00:00
SA1,Goyder Wind Farm 1B,Goyder South Wind Farm 1B,GSWF1B1,Wind,0.9689,196,2023-11-21T00:00:00,2999-12-31T00:00:00
SA1,Hydro Tas,Starfish Hill WF,STARHLWF,Wind,1.0037,35,2006-02-07T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Bolivar,BOLIVPS1,Diesel,1,127,2022-11-29T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Lake Bonney BESS1,LBB1,Battery,0.9502,25,2024-09-26T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Lake Bonney BESS1,LBBG1,Battery,0.9841,25,2019-10-08T00:00:00,2024-10-16T00:00:00
SA1,Iberdrola Australia Energy Markets,Lake Bonney Stage 1 Wind Farm,LKBONNY1,Wind,0.9297,81,2004-05-25T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Lake Bonney Stage 2 Wind Farm,LKBONNY2,Wind,0.9297,159,2007-05-31T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Lake Bonney Stage 3 Wind Farm,LKBONNY3,Wind,0.9297,39,2010-07-02T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Port Augusta Renewable Energy Park,PAREPS1,Solar,0.9735,77,2022-09-06T00:00:00,2999-12-31T00:00:00
SA1,Iberdrola Australia Energy Markets,Port Augusta Renewable Energy Park,PAREPW1,Wind,0.9735,201,2022-03-08T00:00:00,2999-12-31T00:00:00
SA1,International Power,Snuggery,SNUG4,Gas,1.0407,21,1998-10-25T00:00:00,2012-06-30T00:00:00
SA1,Meridian Energy,Mt Millar Wind Farm,MTMILLAR,Wind,0.9403,70,2005-09-22T00:00:00,2999-12-31T00:00:00
SA1,NEOEN,Blyth Battery Energy Storage System,BLYTHB1,Battery,0.9778,200,2024-08-20T00:00:00,2999-12-31T00:00:00
SA1,NEOEN,Hornsdale Power Reserve,HPR1,Battery,0.9761,150,2024-09-12T00:00:00,2999-12-31T00:00:00
SA1,NEOEN,Hornsdale Power Reserve,HPRG1,Battery,0.9657,150,2017-11-14T00:00:00,2024-10-02T00:00:00
SA1,NEOEN,Hornsdale Wind Farm,HDWF1,Wind,0.956,102,2016-06-02T00:00:00,2999-12-31T00:00:00
SA1,NEOEN,Hornsdale Wind Farm 2,HDWF2,Wind,0.956,102,2017-02-21T00:00:00,2999-12-31T00:00:00
SA1,NEOEN,Hornsdale Wind Farm 3,HDWF3,Wind,0.956,109,2017-08-14T00:00:00,2999-12-31T00:00:00
SA1,Nexif Energy,Lincoln Gap Wind Farm,LGAPWF1,Wind,0.9689,123,2019-02-06T00:00:00,2999-12-31T00:00:00
SA1,Nexif Energy,Lincoln Gap Wind Farm,LGAPWF2,Wind,0.9689,85,2021-12-14T00:00:00,2999-12-31T00:00:00
SA1,Nexif Energy,Snapper Point,SNAPPER1,Diesel,0.9987,150,2021-12-21T00:00:00,2999-12-31T00:00:00
SA1,NRG Flinders,Playford,PLAYFB1,Brown Coal,0.958,63,1998-10-25T00:00:00,2000-02-15T00:00:00
SA1,NRG Flinders,Playford,PLAYFB2,Brown Coal,0.958,63,1998-10-25T00:00:00,2000-02-15T00:00:00
SA1,NRG Flinders,Playford,PLAYFB3,Brown Coal,0.958,63,1998-10-25T00:00:00,2000-02-15T00:00:00
SA1,NRG Flinders,Playford,PLAYFB4,Brown Coal,0.958,63,1998-10-25T00:00:00,2000-02-15T00:00:00
SA1,Origin Energy,Ladbroke Grove,LADBROK1,Gas,0.9522,50,1999-11-05T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Ladbroke Grove,LADBROK2,Gas,0.9522,50,1999-11-05T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Osborne,OSB-AG,Gas,0.9995,204,2000-02-15T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Osborne,OSB01,Gas,0.9993,118,1998-10-25T00:00:00,2012-06-30T00:00:00
SA1,Origin Energy,Osborne,OSB02,Gas,0.9993,62,1998-10-25T00:00:00,2012-06-30T00:00:00
SA1,Origin Energy,Quarantine,QPS1,Gas,0.9957,29,2001-11-08T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Quarantine,QPS2,Gas,0.9957,25,2001-11-08T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Quarantine,QPS3,Gas,0.9957,29,2001-11-08T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Quarantine,QPS4,Gas,0.9957,25,2001-11-08T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Quarantine,QPS5,Gas,0.9957,128,2008-12-19T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Snowtown North Wind Farm,SNOWNTH1,Wind,0.9695,144,2013-09-10T00:00:00,2999-12-31T00:00:00
SA1,Origin Energy,Snowtown South Wind Farm,SNOWSTH1,Wind,0.9695,126,2013-09-10T00:00:00,2999-12-31T00:00:00
SA1,Pacific Hydro,Clements Gap Wind Farm,CLEMGPWF,Wind,0.9604,57,2009-04-17T00:00:00,2999-12-31T00:00:00
SA1,SA Power Networks,Temporary Generation North,SATGN1,Diesel,,154,2017-10-20T00:00:00,2021-11-25T00:00:00
SA1,SA Power Networks,Temporary Generation South,SATGS1,Diesel,1.0021,123,2017-10-20T00:00:00,2022-05-01T00:00:00
SA1,Snowy Hydro,Angaston,ANGAST1,Diesel,1.0073,50,2016-05-27T00:00:00,2999-12-31T00:00:00
SA1,Snowy Hydro,Lonsdale,LONSDALE,Diesel,1.0037,21,2010-01-01T00:00:00,2999-12-31T00:00:00
